id,question,answer,confidence,method,topic
56,"In a factory, there are three conveyor belts with sensors at their start and end points. Belt A takes 5 minutes to move items from start to end, Belt B takes 3 minutes, and Belt C takes 7 minutes. The factory is designed such that no belt starts moving until the previous belt has deposited an item to it. If Belt A starts with an item, how many minutes in total will pass before the item is deposited at the end of Belt C?",15.0,0.9535397000820768,addition,Operation of mechanisms
57,"You have 12 hours to prepare an important report. The report will take 10 hours to write. However, after every 2 hours of work, you need a break that lasts exactly 30 minutes to stay productive. If you start working at 8 am, what is the latest time you can take your first break and still complete the report on time?",57600.0,0.9578393144967657,multiplication,Optimization of actions and planning
58,"Jake is trying to fix an old clock. The clock is designed with three gears that interlock. Gear A has 8 teeth and rotates clockwise. Gear B has 10 teeth and interlocks with Gear A, which means it rotates counter-clockwise. Gear C has 6 teeth and interlocks with Gear B. If Jake starts turning Gear A, after how many full rotations of Gear A will all gears return to their original starting positions?",-2,0.9518090915564215,graph_reasoning,Operation of mechanisms
59,You have been given a challenge to fit a number of 1x1x1 cubes into a larger cube container without any overlap or empty space. The larger cube container has a side length of 4 units. What is the minimum number of 1x1x1 cubes needed to fit entirely within the larger cube without any empty space remaining?,4.0,0.9630132132305306,max_comparison,Spatial reasoning
60,"You are a librarian tasked with organizing a set of 5 books on a single shelf. Every day you need to pull one book from the shelf to reference, but the order they are pulled is unknown. You can arrange the books however you like initially. To save time in the long run, you devise a system where after using a book, you place it back on the far right side of the shelf. Given that the books have equal probability of being chosen each day, which arrangement would minimize the average time spent searching for the books over a period of 100 days?",0.05,0.9655470915875792,graph_reasoning,Optimization of actions and planning
61,"You are given a sequence of numbers: 8, 11, 14, 17, 20. What is the next number in the sequence?",23.0,0.9608539612709558,arithmetic_sequence,Sequence solving
62,"You have 15 tasks to complete. Each task takes exactly 7 minutes to complete. You have two assistants that can work simultaneously and independently from each other. However, there is a restriction that no assistant can start a new task within 3 minutes of finishing their previous task. What is the minimum time required to complete all 15 tasks?",3.0,0.9831495003660772,min_comparison,Optimization of actions and planning
63,"You discover an ancient tablet with a sequence of symbols that appear to have a logical progression: @, #, %, ^, &, ?. Every symbol represents a consecutive day of the week, starting with Monday. Based on the pattern, which symbol would correspond to Sunday?",None,0.9642701330677436,graph_reasoning,Sequence solving
64,"A sales representative has four cities to visit: A, B, C, and D. The distances between cities are as follows: A to B: 50 miles, A to C: 20 miles, A to D: 60 miles, B to C: 90 miles, B to D: 40 miles, C to D: 70 miles. She must visit each city once and return to the original departure city. The challenge is to find the shortest possible route that meets the criteria. What is the total distance of the shortest route?",330.0,0.9612373803874952,addition,Optimization of actions and planning
65,"You discover an ancient book with a series of numbers on a page: 2, 12, 36, 80, 150, __. Alongside the numbers, there is a riddle in an unknown language, but it has a diagram that shows a series of geometric shapes that seem to correlate with the numbers. The first shape is a single square, the second consists of 3 squares forming a triangle, the forth shows a perfect square of 4x4 squares, and the fifth is a 'X' made from 25 squares. What should be the next number in the sequence to maintain the pattern described by the geometric diagrams?",4.0,0.9717078433263299,square,Sequence solving
66,"You have a 3x3x3 Rubik's Cube which is scrambled. If you consider a single-layer rotation as one move, what is the minimum number of moves required to make one face of the cube entirely one color, regardless of the placement or orientation of the other pieces?",3.0,0.9556369689989904,min_comparison,Spatial reasoning
67,"A mechanical combination lock consists of three wheels, each marked with the digits from 0 to 9. Each wheel must be set to the correct position in order for the lock to open. When the lock is at the correct combination, the sum of the first and second wheels' digits is equal to the third wheel's digit. Additionally, the second wheel's digit is twice the first wheel's digit, and the third wheel's digit is three times the first wheel's digit minus one. What is the combination to open the lock?",9.0,0.9820878792301616,addition,Operation of mechanisms
68,"In a small town, there are four bridges that connect two parts of the town separated by a river. Due to construction, only two of the four bridges are open each day, and it is never the same two bridges on consecutive days. A businessman needs to cross to the other side and back every day for four days. He chooses bridges randomly each day. What is the probability that he won't have to use the same bridge twice in the four days?",False,0.9529820257471908,graph_reasoning,Optimization of actions and planning
69,"A precious stone, a ring of gold, Yet no one's property it may hold. What am I?",None,0.9894754774640206,graph_reasoning,Classic riddles
70,"You are the new manager of a warehouse that needs to optimize the placement of its items. There are 3 zones in the warehouse: high frequency (HF), medium frequency (MF), and low frequency (LF) areas, indicating how often items are accessed. Items A, B, and C have an access frequency of 50 times per day, 30 times per day, and 10 times per day, respectively. You must place one item in each zone to minimize the walking distance for retrieval, considering daily access frequency as a representative measurement of walking distance. Where should each item be placed to optimize efficiency?",45000.0,0.9808897907718663,multiplication,Optimization of actions and planning
71,"In a tournament, every player played exactly one match against each other player. Each match can result in a win or a loss, draws are not possible. There are no ties in the final ranking. The winner of a match gets a score that is one higher than the score of the player they defeated. The player who lost all his matches ends with a score of 0. Considering that the sum of scores of all players is 220, how many players participated in the tournament?",220.0,0.9579486272613669,addition,Optimization of actions and planning
72,"Alice, Bob, and Charlie are planning to meet in a coffee shop that is equidistant from their homes. They can choose to take a bus, a taxi, or to walk. The bus arrives every 15 minutes and takes 10 minutes to reach the coffee shop. A taxi is immediately available but costs $10 and takes 5 minutes to reach the destination. Walking takes 30 minutes. They all have different financial situations: Alice wants to minimize cost, Bob wants to minimize waiting time, and Charlie prefers to not arrive sweaty so he avoids walking if possible. They all depart their homes at the same time and want to optimize according to their preferences. What mode of transportation should each one take?",None,0.950220884684944,graph_reasoning,Optimization of actions and planning
73,A prisoner is told 'If you tell a lie we will hang you; if you tell the truth we will shoot you.' What can the prisoner say to save himself?,None,0.9826184571381934,graph_reasoning,Classic riddles
74,"A homeowner wants to design a simple mechanical gate that opens automatically when their car approaches from the outside but does not open when the car exits the driveway. The gate must also be able to be opened manually from the inside without using a remote control or automated system. Considering they do not wish to use electronic sensors or complex machinery, which option represents the best mechanical design to achieve these requirements?",True,0.9782742937539046,graph_reasoning,Operation of mechanisms
75,"You are in a magical library with four doors: one on each wall. Each door is painted with symbols. The North door has a triangle, the East door a square, the South door a circle, and the West door a hexagon. A riddle on the floor reads: The way forward walks on four, neither less nor more. To exit the library, which door do you choose?",None,0.9791602867216395,graph_reasoning,Spatial reasoning
76,"A sequence starts with the number 1 and each subsequent number is three times the previous number plus 1. If 1, 4, 13 are the first three numbers, what is the fifth number in the sequence?",52.0,0.9808508138674378,multiplication,Sequence solving
77,Pete is reading a book. Suddenly he throws the book away and turns on the light. Why did Pete throw the book away and turn on the light?,None,0.9529617860693635,graph_reasoning,Lateral thinking
78,"Find the next number in the following sequence: 3, 4, 6, 9, 13, ... What is the next number and why?",None,0.9643386291417708,graph_reasoning,Sequence solving
79,"Imagine you have a cube made up of 27 smaller cubes of the same size – a 3x3x3 cube. This large cube is painted on all six outer faces. You then separate all the smaller cubes and randomly pick one. Without looking at it, you try to determine the probability of picking a smaller cube that has exactly two painted faces. What is this probability?",3.0,0.9546347623810052,min_comparison,Spatial reasoning
80,"A man is found hanging dead from the ceiling in a flooded room. The water is not deep enough to drown a man, and there are no steps or chairs or any kind of furniture in the room. He didn’t die by drowning, but by hanging. How is this possible?",None,0.9845241370350237,graph_reasoning,Lateral thinking
81,"Imagine a 3x3x3 Rubik's cube. Each small cube on the surface is colored either red, blue, or green. There are 9 red, 12 blue, and remaining green small cubes visible on the surface. Considering all possible color distributions and without breaking the cube, how many small green cubes will be at least on one corner of the Rubik's cube?",None,0.9749319250731023,graph_reasoning,Spatial reasoning
82,"In a factory, there are three machines A, B, and C. Machine A can complete an order in 4 hours, Machine B can complete the same order in 6 hours, and Machine C can complete it in 12 hours. If all three machines start working on the order at the same time, how many hours will it take to complete the order?",None,0.9632359209941059,graph_reasoning,Operation of mechanisms
83,"Claire has 4 tasks to complete with varying levels of urgency and duration. Task A must be done before Task C and takes 3 hours. Task B is not urgent but takes 4 hours. Task C is very urgent and takes 2 hours. Task D is moderately urgent and takes 1 hour. Without overlapping any tasks, what is the minimum amount of time needed for Claire to complete all tasks if she starts at 8 AM and follows optimal ordering?",1.0,0.952542334011441,min_comparison,Optimization of actions and planning
84,"A woman buys a new pair of shoes, goes to work, and dies. What happened?",None,0.9624392928686265,graph_reasoning,Lateral thinking
85,"Alex, Brenda, and Chloe want to paint a series of three houses, each in a different color: red, green, or blue. They need to optimize the painting schedule to minimize the total time spent while adhering to the following constraints: (1) Alex paints faster than Brenda and Chloe. (2) Brenda cannot paint a house green. (3) Chloe must paint the blue house immediately after Alex paints the red one. If each person can only paint one house and the total painting times are Alex - 3 hours, Brenda - 4 hours, and Chloe - 5 hours, how should the houses be allocated to minimize the total time spent painting?",18.0,0.9630073328810699,addition,Optimization of actions and planning
86,"You have an electric car that can travel up to 100 miles on a full charge. You need to reach a destination that is 250 miles away, and there are three charging stations on the way. The first is located 70 miles from the starting point, the second is 140 miles from the start (70 miles from the first), and the third is 210 miles from the start (70 miles from the second). Charging at each station takes 30 minutes, regardless of the amount of charge required. Assuming your car starts with a full charge and you wish to spend the least amount of time possible charging, how should you plan your stops to charge the car and what would be the total charging time?",30.0,0.9791842471335226,min_comparison,Optimization of actions and planning
87,"You are in a room with four doors, each leading to a path that goes in one of the four cardinal directions: North, East, South, and West. Each door has a unique puzzle lock that requires you to place a set of shapes into the correct sequence to open the door. The North door requires a square, circle, and triangle in sequence; the East door requires a square, square, and circle; the South door wants a triangle, square, and circle; and the West door requires a circle, triangle, and square. You have a hint that says 'I open when the first shape is unique and the last is common among those not taken.' Which door should you choose?",True,0.9755022988542085,room_navigation,Spatial reasoning
88,"In a room, there are three machines. Each machine has two modes: blue mode and red mode. Machine 1 changes its color every 3 minutes, Machine 2 changes its color every 4 minutes, and Machine 3 changes its color every 5 minutes. If all machines start in the blue mode, how many minutes will pass before all machines show red for the first time simultaneously?",None,0.985488509703053,graph_reasoning,Operation of mechanisms
89,"Imagine a cube that has a number from 1 to 6 on each face, much like a die. If the cube is rolled on the table and only the numbers on the vertical faces are added, the sum is always 14. The cube is now thrown and lands with the number 3 facing up. What is the number on the bottom face?",24.0,0.9688885970064779,addition,Spatial reasoning
90,"You come across three sequences which follow a specific pattern. The sequences are as follows: 
Sequence A: 2, 12, 36, 80, 150
Sequence B: 3, 24, 60, 120, 210
Sequence C: 5, 35, ?, 175, 275
Find the missing number in Sequence C.",None,0.954783769837532,graph_reasoning,Sequence solving
