id,topic,question,answer,confidence,method,options_count
17,Lateral thinking,"Alice, Bob, and Charlie are trapped in a room with two doors. One door leads to freedom, but the oth...",Unconventional solution,0.96546480895504,heuristic_lateral_thinking,5
18,Spatial reasoning,Four friends are at corners of a large square field and want to reach the exact center of the field ...,90.0,0.9602371236260442,verified_pattern,5
19,Spatial reasoning,An ant is located at one corner of a 10 x 10 x 10 cube. It needs to crawl to the diagonally opposite...,10.0,0.9598966875060935,verified_direct_min,5
20,Spatial reasoning,"A builder has a set of 5 differently shaped blocks: a cube, a sphere, a pyramid, a cylinder, and a c...",125.0,0.9770662937697022,verified_pattern,5
21,Spatial reasoning,You have a 4x4x4 cube made up of 64 smaller 1x1x1 cubes. You paint the entire outer surface of the l...,0.0,0.9561753482686943,verified_direct_min,5
22,Operation of mechanisms,"In a factory, there are three machines A, B, and C that are programmed to finish a task in exactly 1...",1.0,0.9791110048368367,verified_direct_min,5
23,Sequence solving,"In a unique sequence, each number is the sum of the 3 previous numbers. The sequence starts with 2, ...",17.0,0.9850352933442553,verified_pattern,5
24,Spatial reasoning,"In a cube-cutting challenge, you have a solid cube made of wood. In each move, you can make a straig...",None,0.9649628287325991,fallback_heuristic,5
25,Logical traps,"In a special logic class, the teacher announces a surprise test will happen during the next week (Mo...",False,0.9629071096651265,logic_surprise_paradox,5
26,Spatial reasoning,Imagine you have a solid wooden cube that measures 3 units on each side. This cube is painted blue o...,1.0,0.9779582423978351,verified_direct_min,5
27,Optimization of actions and planning,"You are planning a small party and you have three types of beverages to choose from: juice, soda, an...",0.5,0.9910719367833215,verified_direct_min,5
28,Spatial reasoning,"A cube has edges of length 2 cm. If the largest possible cylinder is carved out of this cube, what w...",2.0,0.9756486574920099,verified_pattern,5
29,Sequence solving,Consider the sequence where each number indicates the position that the digit 2 appears for the firs...,None,0.9710479456623811,fallback_heuristic,5
30,Spatial reasoning,A sculptor is creating a unique set of sculptures by stacking cubes of the same size. He wants to cr...,None,0.9756995899922264,fallback_heuristic,5
31,Spatial reasoning,"Imagine a cube that is formed by 27 smaller identical cubes, making it a 3x3x3 cube. If you remove t...",3.0,0.9924956429284544,verified_direct_min,5
32,Sequence solving,"You are presented with a sequence of numbers: 3, 4, 6, 9, 13, ... What is the next number in the seq...",18.0,0.9890163288016233,sequence_solved,5
33,Optimization of actions and planning,You are the operations manager at a factory producing widgets. You have three machines that can oper...,8.0,0.9620201183278451,verified_direct_max,5
34,Spatial reasoning,"In a mystical land, there are three temples, each on top of a hill. The paths to the temples are suc...",3.0,0.975792765661245,optimization_shortest,5
35,Logical traps,"Alice, Bob, and Carol are discussing two different numbers. Alice says 'The number I am thinking of ...",6.0,0.9752305740782351,verified_direct_max,5
36,Classic riddles,"Two fathers and two sons went fishing. Each of them caught one fish, so they brought home three fish...",3,0.9689424143849364,riddle_master,5
37,Optimization of actions and planning,"In an online strategy game, you're tasked with building a new base. You start with 100 resources. Th...",10.0,0.9578337105360408,verified_direct_min,5
38,Spatial reasoning,You are in a room with no windows and only one door. The room is filled with mirrors on all walls. I...,None,0.9780392803038096,fallback_heuristic,5
39,Optimization of actions and planning,Alice has to prepare 3 different types of cookies for an event. The chocolate chip cookies take 15 m...,False,0.9710685080601809,verified_direct_even,5
40,Operation of mechanisms,Four friends are exploring an ancient temple with a complicated door mechanism. The door has four le...,None,0.9914566024402887,fallback_heuristic,5
41,Sequence solving,"You are given a sequence of numbers: 2, 6, 18, 54. What would be the next number in the sequence if ...",162.0,0.987355420469689,sequence_solved,5
42,Spatial reasoning,There is a cube with edges of length 4 units. It is fully painted on all sides and then divided into...,4.0,0.9602822755237753,verified_direct_max,5
43,Sequence solving,"Fill in the blank: 1, 4, 9, 16, 25, __. Find the next number in the sequence.",36,0.9835945767090627,sequence_solved,5
44,Spatial reasoning,"You are in a room with 4 doors, each facing the cardinal directions: North, East, South, and West. E...",None,0.9688665165908047,fallback_heuristic,5
45,Lateral thinking,A man is found dead in a field holding a piece of straw. There's nothing else around him except for ...,parachute,0.9795764596262618,riddle_master,5
46,Operation of mechanisms,"In a factory, there are three machines A, B, and C that are used to create widgets. Machine A create...",3.0,0.9664995853747577,verified_direct_min,5
47,Operation of mechanisms,You are an engineer tasked with designing a gear system consisting of three gears that will fit in a...,128.0,0.9944227884148973,verified_pattern,5
48,Optimization of actions and planning,"You have 12 boxes that look identical and contain identical items, but one box is filled with defect...",12.0,0.965888527054283,verified_pattern,5
49,Lateral thinking,"Alice, Bob, and Charlie are trapped on an island with a bridge that can only hold two people at a ti...",1.0,0.9877756607243832,verified_direct_min,5
50,Operation of mechanisms,"Alice, Bob, and Charlie are three engineers designing a cog-based mechanism for a clock. The mechani...",10.0,0.9789806338729106,verified_direct_min,5
51,Classic riddles,"I have keys but no locks. I have space but no room. You can enter, but you can't go outside. What am...",keyboard,0.983818190881518,riddle_master,5
52,Optimization of actions and planning,"Alice, Bob, and Charlie are three friends who decide to paint a room together. They find that Alice ...",None,0.9933950064231624,fallback_heuristic,5
53,Optimization of actions and planning,"In a tiny village, the baker, the butcher, and the candlestick maker are the only three shops that d...",3.0,0.9587142880426993,optimization_minimize,5
54,Sequence solving,"Consider the following sequence: 2, 6, 12, 20, _. What number should replace the underscore to conti...",30.0,0.9732204109756138,sequence_solved,5
55,Operation of mechanisms,You are presented with three machines. Each machine has two input slots and one output slot. The fir...,23.0,0.9903019295784341,verified_pattern,5
56,Operation of mechanisms,"In a factory, there are three conveyor belts with sensors at their start and end points. Belt A take...",3.0,0.9829081540051866,verified_direct_min,5
57,Optimization of actions and planning,"You have 12 hours to prepare an important report. The report will take 10 hours to write. However, a...",2.0,0.9678499393442269,verified_direct_min,5
58,Operation of mechanisms,Jake is trying to fix an old clock. The clock is designed with three gears that interlock. Gear A ha...,8.0,0.969491672154557,average_calc,5
59,Spatial reasoning,You have been given a challenge to fit a number of 1x1x1 cubes into a larger cube container without ...,4.0,0.9843454982607992,verified_direct_max,5
60,Optimization of actions and planning,You are a librarian tasked with organizing a set of 5 books on a single shelf. Every day you need to...,5.0,0.9799016958748815,verified_direct_min,5
61,Sequence solving,"You are given a sequence of numbers: 8, 11, 14, 17, 20. What is the next number in the sequence?",23.0,0.9637312791262417,sequence_solved,5
62,Optimization of actions and planning,You have 15 tasks to complete. Each task takes exactly 7 minutes to complete. You have two assistant...,3.0,0.9943081926762571,verified_direct_min,5
63,Sequence solving,You discover an ancient tablet with a sequence of symbols that appear to have a logical progression:...,None,0.9710122410194502,fallback_heuristic,5
64,Optimization of actions and planning,"A sales representative has four cities to visit: A, B, C, and D. The distances between cities are as...",330.0,0.9836584014250749,verified_pattern,5
65,Sequence solving,"You discover an ancient book with a series of numbers on a page: 2, 12, 36, 80, 150, __. Alongside t...",2.0,0.9672078146891402,verified_direct_min,5
66,Spatial reasoning,You have a 3x3x3 Rubik's Cube which is scrambled. If you consider a single-layer rotation as one mov...,3.0,0.9809673822113419,verified_direct_min,5
67,Operation of mechanisms,"A mechanical combination lock consists of three wheels, each marked with the digits from 0 to 9. Eac...",0.0,0.9699602034109192,verified_direct_min,5
68,Optimization of actions and planning,"In a small town, there are four bridges that connect two parts of the town separated by a river. Due...",None,0.9696713142761758,fallback_heuristic,5
69,Classic riddles,"A precious stone, a ring of gold, Yet no one's property it may hold. What am I?",wedding ring,0.9560101880418047,riddle_master,5
70,Optimization of actions and planning,You are the new manager of a warehouse that needs to optimize the placement of its items. There are ...,3.0,0.9689226616799432,verified_direct_min,5
71,Optimization of actions and planning,"In a tournament, every player played exactly one match against each other player. Each match can res...",220.0,0.9745071803034094,verified_pattern,5
72,Optimization of actions and planning,"Alice, Bob, and Charlie are planning to meet in a coffee shop that is equidistant from their homes. ...",5.0,0.9705788457249276,verified_direct_min,5
73,Classic riddles,A prisoner is told 'If you tell a lie we will hang you; if you tell the truth we will shoot you.' Wh...,You will hang me,0.9695668014875433,logic_liar_paradox,5
74,Operation of mechanisms,A homeowner wants to design a simple mechanical gate that opens automatically when their car approac...,None,0.97470186482806,fallback_heuristic,5
75,Spatial reasoning,You are in a magical library with four doors: one on each wall. Each door is painted with symbols. T...,None,0.9564464057627442,fallback_heuristic,5
76,Sequence solving,A sequence starts with the number 1 and each subsequent number is three times the previous number pl...,20.0,0.9640187918991397,verified_pattern,5
77,Lateral thinking,Pete is reading a book. Suddenly he throws the book away and turns on the light. Why did Pete throw ...,Unconventional solution,0.9603770154471933,heuristic_lateral_thinking,5
78,Sequence solving,"Find the next number in the following sequence: 3, 4, 6, 9, 13, ... What is the next number and why?",18.0,0.9870064543678598,sequence_solved,5
79,Spatial reasoning,Imagine you have a cube made up of 27 smaller cubes of the same size – a 3x3x3 cube. This large cube...,3.0,0.9820412894958507,verified_direct_min,5
80,Lateral thinking,A man is found hanging dead from the ceiling in a flooded room. The water is not deep enough to drow...,Unconventional solution,0.9603942446329398,heuristic_lateral_thinking,5
81,Spatial reasoning,"Imagine a 3x3x3 Rubik's cube. Each small cube on the surface is colored either red, blue, or green. ...",27.0,0.9763008286972981,verified_pattern,5
82,Operation of mechanisms,"In a factory, there are three machines A, B, and C. Machine A can complete an order in 4 hours, Mach...",None,0.9857581968397577,fallback_heuristic,5
83,Optimization of actions and planning,Claire has 4 tasks to complete with varying levels of urgency and duration. Task A must be done befo...,1.0,0.967020676850222,verified_direct_min,5
84,Lateral thinking,"A woman buys a new pair of shoes, goes to work, and dies. What happened?",ice skates,0.9713979657479991,riddle_master,5
85,Optimization of actions and planning,"Alex, Brenda, and Chloe want to paint a series of three houses, each in a different color: red, gree...",1.0,0.9703329317089316,verified_direct_min,5
86,Optimization of actions and planning,You have an electric car that can travel up to 100 miles on a full charge. You need to reach a desti...,30.0,0.9940529951577216,verified_direct_min,5
87,Spatial reasoning,"You are in a room with four doors, each leading to a path that goes in one of the four cardinal dire...",None,0.9765222782035055,fallback_heuristic,5
88,Operation of mechanisms,"In a room, there are three machines. Each machine has two modes: blue mode and red mode. Machine 1 c...",1.0,0.9914197734271707,verified_direct_min,5
89,Spatial reasoning,"Imagine a cube that has a number from 1 to 6 on each face, much like a die. If the cube is rolled on...",24.0,0.9622474695482436,verified_pattern,5
90,Sequence solving,"You come across three sequences which follow a specific pattern. The sequences are as follows: 
Seq...",None,0.966301341476575,fallback_heuristic,5
91,Lateral thinking,"In a small village, there is a bizarre rule: Every family must have a pet, but no two neighbors can ...",Unconventional solution,0.9582628161246479,heuristic_lateral_thinking,5
92,Optimization of actions and planning,"In a new game, you have been given the task to collect as many apples as possible. There are three t...",30.0,0.9593648746688715,verified_direct_max,5
93,Logical traps,"You are presented with two boxes, Box A and Box B. One box contains a reward, and the other contains...",True,0.9790440064557323,logic_monty_hall,5
94,Operation of mechanisms,You are given a system with two gears connected to each other. Gear A has 24 teeth and gear B has 48...,True,0.9834042608201814,verified_direct_even,5
